Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
Classe;30.642.032/0001-51;2026-01-01;1;2026-02-04;FUNDO DE INVESTIMENTO IMOBILIÁRIO BACURI;2019-04-30;INVESTIDOR PROFISSIONAL;;16985.88612497;N;N;;Multicategoria;Ativa;Indeterminado;2050-01-01;31/12;N;N;S;N;N;WNT CAPITAL DTVM;45854066000187;AV BRIGADEIRO FARIA LIMA;3477;8 ANDAR;ITAIM BIBI;SÃO PAULO;SP;04538133;+55 (11) 3010-100;;;WWW.WNTDTVM.COM;ATENDIMENTO@WNTDTVM.COM
Classe;30.647.758/0001-87;2026-01-01;1;2026-02-12;RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE FII;2019-12-16;INVESTIDORES EM GERAL;BRRBHGCTF002;2167957;N;N;;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;30.654.849/0001-40;2026-01-01;1;2026-02-12;V2 PRIME PROPERTIES FII;2019-12-04;INVESTIDORES EM GERAL;BRVPPRCTF004;7316171;N;N;;Escritórios;Ativa;Indeterminado;;31/12;S;N;N;S;N;VÓRTX DTVM LTDA;22610500000188;Rua Gilberto Sabino;215;4º ANDAR;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;30.816.679/0001-52;2026-01-01;1;2026-02-12;KINEA CO INVESTIMENTO FII RESPONSABILIDADE LIMITADA;2019-03-22;INVESTIDOR QUALIFICADO;BR003HCTF006;404495.18142;N;N;;Multicategoria;Ativa;Determinado;2033-03-21;30/06;S;N;N;S;N;INTRAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62418140000131;AV BRIGADEIRO FARIA LIMA;3400;10º Andar;ITAIM BIBI;SÃO PAULO;SP;04538132;55 (11) 30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
Classe;30.846.692/0001-54;2026-01-01;1;2026-02-13;METROPOLITANO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-05-15;INVESTIDOR PROFISSIONAL;000000000000;1644411.13904241;S;N;;Varejo;Ativa;Indeterminado;;31/06;S;S;N;N;S;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Fundo;30.871.660/0001-09;2026-01-01;1;2026-02-13;CLASSE A DO VBI ULIVING MULTICLASSE FII RESP LIMITADA;2018-11-30;INVESTIDOR PROFISSIONAL;BR018CCTF005;390774.6659;N;N;;Residencial;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;30.871.698/0001-81;2026-01-01;1;2026-02-10;V2 MULTI RENDA FII RESP LIMITADA;2020-01-16;INVESTIDORES EM GERAL;BRHBRHCTF000;2823180;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;30.871.716/0001-25;2026-01-01;1;2026-02-13;GREEN FII ROCK;2018-10-29;INVESTIDOR PROFISSIONAL;BRGRROCTF004;135350;N;N;;Outros;Ativa;Indeterminado;;13/12;N;N;N;N;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;30.982.880/0001-00;2026-01-01;1;2026-02-13;JPP CAPITAL RECEBÍVEIS IMOBILIÁRIOS FII RL;2018-12-17;INVESTIDORES EM GERAL;BRJPPACTF005;904050;N;N;;Multicategoria;Ativa;Indeterminado;;30/06;S;N;N;S;N;FINAXIS CORRETORA;03317692000194;Avenida Paulista;1842;Torre Norte, Térreo Loja 08;Bela Vista;São Paulo;SP;01310-923;(11) 3526 9001;;;http://finaxis.com.br/;atendimento.regulatorio@finaxis.com.br
Classe;30.982.923/0001-57;2026-01-01;1;2026-02-13;FII VITACON;2018-12-24;INVESTIDOR QUALIFICADO;BR016KCTF002;798274157.3854;N;N;;Residencial;Ativa;Indeterminado;;31/12;N;N;S;N;N;VÓRTX DTVM LTDA;22610500000188;Rua Gilberto Sabino;215;4º ANDAR;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;30.982.974/0001-89;2026-01-01;1;2026-02-10;GENESIS MULTIESTRATÉGIA  FII;2019-11-01;INVESTIDOR QUALIFICADO;BRVXXVCTF004;477875;N;N;;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;30.983.020/0001-90;2026-01-01;1;2026-02-12;XP SELECTION FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-07-02;INVESTIDORES EM GERAL;BRXPSFCTF009;43302140;N;N;;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VAL MOB S/A;02332886000104;AVENIDA ATAULFO DE PAIVA;153;5º e 8º andares;LEBLON;RIO DE JANEIRO;RJ;22440-033;(11) 3027-2237;;;www.xpi.com.br;adm.fundos.estruturados@xpi.com.br
Classe;31.145.875/0001-05;2026-01-01;1;2026-02-12;BFC FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-06-15;INVESTIDOR PROFISSIONAL;BRSPTWCTF002;8304404;N;N;;Escritórios;Ativa;Indeterminado;;31/12;N;N;S;N;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9º;Botafogo;Rio de Janeiro;RJ;20091-020;(11)3524-8888;(11) 2137-8888;0800 605 8888;https://www.genialinvestimentos.com.br/;Structured-Funds@genial.com.vc
Classe;31.152.015/0001-07;2026-01-01;2;2026-02-25;FII HECTARE STUDENT HOUSING;2019-08-30;INVESTIDORES EM GERAL;BRHCSTCTF001;870918.4343;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;S;N;S;N;VÓRTX DTVM LTDA;22610500000188;Rua Gilberto Sabino;215;4º ANDAR;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;fundos@vortx.com.br
Classe;31.161.410/0001-48;2026-01-01;1;2026-02-13;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL IV FII;2020-02-20;INVESTIDORES EM GERAL;BRRBIRCTF007;1528615;S;N;;Residencial;Ativa;Indeterminado;;31/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;31.373.514/0001-16;2026-01-01;1;2026-02-05;SÃO JORGE FUNDO DE INVESTIMENTO IMOBILIARIO;2018-08-20;INVESTIDOR QUALIFICADO;0;12231732.6611041;N;N;;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;SEFER INVESTIMENTOS DTVM LTDA;00329598000167;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR CJ 601;ITAIM BIBI;SÃO PAULO;SP;01451-000;11 3113-0060;;;www.seferinvestimentos.com,br;informeslegais@seferinvestimentos.com.br
Classe;31.469.385/0001-64;2026-01-01;1;2026-02-13;EUROPA 105 FII;2019-03-15;INVESTIDOR QUALIFICADO;BRERPACTF002;500922;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;31.508.219/0001-20;2026-01-01;1;2026-02-13;MULTIOFFICES 2 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-07-11;INVESTIDOR QUALIFICADO;BRMOFFCTF002;220066;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;S;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;31.524.769/0001-32;2026-01-01;2;2026-03-03;ELEV BRAS FUNDO DE INVESTIMENTO IMOBILIARIO;2008-10-17;INVESTIDOR QUALIFICADO E PROFISSIONAL;0;144413.3759;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;SEFER INVESTIMENTOS DTVM LTDA;00329598000167;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451-000;11 3113-0060;;;www.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Classe;31.524.789/0001-03;2026-01-01;1;2026-02-05;PORTO PREMIUM FII;2019-05-20;INVESTIDOR QUALIFICADO;0;40.73481058;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;SEFER INVESTIMENTOS DTVM LTDA;00329598000167;AV BRIGADEIRO FARIA LIMA;3900;CJ 601;ITAIM BIBI;SÃO PAULO;SP;01451000;1131130060;;;www.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Classe;31.544.493/0001-54;2026-01-01;1;2026-02-04;FUNDO DE INVESTIMENTO IMOBILIARIO ECOPARQUE;2020-12-22;INVESTIDOR PROFISSIONAL;0;244847.90875494;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;SEFER INVESTIMENTOS DTVM LTDA;00329598000167;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451-000;11 3113-0060;;;www.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Classe;31.544.514/0001-31;2026-01-01;1;2026-02-04;FUNDO DE INVESTIMENTO IMOBILIARIO MIRANTE DAS AGUAS;2018-12-17;INVESTIDOR QUALIFICADO E PROFISSIONAL;0;0;N;N;;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;SEFER INVESTIMENTOS DTVM LTDA;00329598000167;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451-000;11 3113-0060;;;www.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Classe;31.547.782/0001-07;2026-01-01;1;2026-02-05;AGRI8 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-12-03;INVESTIDOR PROFISSIONAL;BR026WCTF006;47850.8243;N;N;;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;31.547.989/0001-81;2026-01-01;2;2026-03-03;FUNDO DE INVESTIMENTO IMOBILIARIO AMÉRICA LOGISTICA;2018-09-04;INVESTIDOR PROFISSIONAL;0;78114.87789461;N;N;;Escritórios;Ativa;Indeterminado;;31/12;N;N;S;N;N;SEFER INVESTIMENTOS DTVM LTDA;00329598000167;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451-000;11 3113-0060;;;www.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Classe;31.713.934/0001-02;2026-01-01;1;2026-02-04;APOLLO CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-12-26;INVESTIDOR PROFISSIONAL;0;36531266.8939517;N;N;;Outros;Ativa;Indeterminado;;30/06;N;N;S;N;N;SEFER INVESTIMENTOS DTVM LTDA;03219598000167;AV BRIGADEIRO FARIA LIMA;3900;6º ANDAR CJ 601;ITAIM BIBI;SÃO PAULO;SP;04538132;11 31131083;;;www.seferinvestimentos.com.br;informeslegais@seferinvestimentos.com.br
Classe;31.772.231/0001-47;2026-01-01;1;2026-02-10;JACARANDA I FUNDO DE INVESTIMENTO IMOBILIARIO;2020-01-28;INVESTIDOR QUALIFICADO;BRJCDACTF009;15303215.9133521;N;N;;Outros;Ativa;Determinado;2023-11-15;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;31.887.401/0001-39;2026-01-01;1;2026-02-12;CX RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II;2019-04-18;INVESTIDORES EM GERAL;BRCRFFCTF006;690040;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;CAIXA ECÔNOMICA FEDERAL;00360305000104;AVENIDA PAULISTA;750;9º ANDAR;BELA VISTA;SÃO PAULO;SP;01310-300;11 3572.4400;;;WWW.CAIXA.GOV.BR;geafi06@caixa.gov.br
Classe;31.894.369/0001-19;2026-01-01;1;2026-02-12;HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOB;2019-07-12;INVESTIDORES EM GERAL;BRHOFCCTF009;3779001;N;N;;Escritórios;Ativa;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br
Classe;31.907.591/0001-09;2026-01-01;1;2026-02-13;SBC FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-11-08;INVESTIDOR PROFISSIONAL;BR0EZ0CTF005;134266;N;N;;Logística;Ativa;Determinado;2023-11-08;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;31.962.875/0001-06;2026-01-01;1;2026-02-13;PROLOGIS BRAZIL LOGISTICS VENTURE FII;2019-01-18;INVESTIDOR PROFISSIONAL;BRPBLVCTF007;4859552.227;N;N;;Logística;Ativa;Indeterminado;2035-03-16;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;32.000.013/0001-57;2026-01-01;1;2026-02-13;BRESCO GROWTH FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-09-24;INVESTIDOR QUALIFICADO E PROFISSIONAL;BR0GTYCTF002;655090.43426895;N;N;;Multicategoria;Ativa;Indeterminado;2033-12-08;31/12;N;S;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;32.006.821/0001-21;2026-01-01;1;2026-02-13;OPEN K ATIVOS E RECEBIVEIS IMOBILIARIOS;2019-10-31;INVESTIDORES EM GERAL;BRARRICTF009;20726973;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;S;N;N;S;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
Classe;32.065.364/0001-46;2026-01-01;1;2026-02-12;CARTESIA RECEBÍVEIS IMOBILIÁRIOS FII RESP LIMITADA;2025-11-25;INVESTIDORES EM GERAL;BRCACRCTF004;4836324;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;32.140.405/0001-11;2026-01-01;1;2026-02-13;G5 ALLOCATION FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-12-23;INVESTIDOR PROFISSIONAL;BR0MN1CTF007;96062.86121802;N;N;;Multicategoria;Ativa;Indeterminado;;30/06;N;N;S;N;N;SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A;62285390000140;AVENIDA REBOUÇAS;2942;7º AO 12º ANDAR;PINHEIROS;SÃO PAULO;SP;05402-500;(11) 2827-3500;;;https://qitech.com.br/dtvm/;fii.adm@qitech.com.br
Classe;32.177.294/0001-18;2026-01-01;2;2026-02-12;FII MB BI RESPONS LIMITADA;2019-01-09;INVESTIDOR QUALIFICADO;BRMBBICTF002;2976;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;MERCANTIL DO BRASIL DISTRIBUIDORA LTDA;17364795000110;RUA RIO DE JANEIRO;654;9 ANDAR;CENTRO;BELO HORIZONTE;MG;30160-912;(31)30576281;(31)30576227;(31)30576730;bancomercantil.com.br;mercantil.distribuidora@mercantil.com.br
Classe;32.222.912/0001-02;2026-01-01;1;2026-02-12;PRIME REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2021-04-15;INVESTIDOR QUALIFICADO;BR0EMNCTF005;28701.23186851;N;N;;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;67030395000146;Avenida Brigadeiro Faria Lima;3.732;11º e 12º andar;Itaim Bibi;São Paulo;SP;04538-132;0800 930 0930;;;www.trusteedtvm.com.br;ouvidoria@trusteedtvm.com.br
Classe;32.274.163/0001-59;2026-01-01;1;2026-02-13;FUNDO REC RENDA IMOBILIARIA;2019-04-24;INVESTIDORES EM GERAL;BRRECTCTF000;8543493;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;32.274.197/0001-43;2026-01-01;1;2026-02-09;SNOWBIRD MASTER FII RESP LIMITADA;2019-09-02;INVESTIDORES EM GERAL;;755795760.389651;N;N;;Outros;Ativa;Determinado;2029-10-01;31/12;N;N;S;N;N;MAF DTVM;36864992000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;32.274.553/0001-29;2026-01-01;1;2026-02-09;SNOWBIRD PARALLEL FII;2019-10-23;INVESTIDORES EM GERAL;;488296489.1105;N;N;;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;MAF DTVM;36864992000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;32.275.196/0001-13;2026-01-01;1;2026-02-09;FII VENETO;2023-12-29;INVESTIDOR PROFISSIONAL;0;283.62514;N;N;;Shoppings;Ativa;Indeterminado;;30/06;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA;34829992000186;Avenida Brigadeiro Faria Lima;2277;17º andar;Jardim Paulistano;São Paulo;SP;01452-000;(11) 3504-6800;;;www.reag.com.br;informeslegais@reag.com.br
Classe;32.275.252/0001-10;2026-01-01;1;2026-02-09;FII DALLAS;2020-09-10;INVESTIDOR PROFISSIONAL;0;2424674.20150446;N;N;;Shoppings;Definida;Indeterminado;;45838;N;N;S;N;N;REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS SA;34829992000186;Avenida Brigadeiro Faria Lima;2277;17º andar;Jardim Paulistano;São Paulo;SP;01452-000;(11) 3504-6800;;;www.reag.com.br;informeslegais@reag.com.br
Classe;32.287.811/0001-01;2026-01-01;1;2026-02-13;CMX REALTY III FUNDO DE INVESTIMENTO IMOBILIARIO;2021-10-15;INVESTIDOR PROFISSIONAL;1;107671.3757;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;MASTER SA CCTVM;33886862000112;PRAIA DE BOTAFOGO;228;1702;BOTAFOGO;RIO DE JANEIRO;RJ;22250906;2145020100;;;www.mastercctvm.com.br;contabilidade.fundos@mastercctvm.com.br
Classe;32.317.313/0001-64;2026-01-01;1;2026-02-12;EVEN II KINEA FII RESPONSABILIDADE LIMITADA;2020-02-13;INVESTIDOR QUALIFICADO E PROFISSIONAL;BRKEVECTF007;147700.99711;N;N;;Residencial;Definida;Determinado;2027-02-13;30/06;S;N;N;S;N;INTRAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62418140000131;AV BRIGADEIRO FARIA LIMA;3400;10º Andar;ITAIM BIBI;SÃO PAULO;SP;04538132;55 (11) 30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
Classe;32.388.168/0001-02;2026-01-01;1;2026-02-06;SERRA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2024-06-18;INVESTIDOR PROFISSIONAL;BR02ENCTF001;244.48125095;N;N;;Outros;Ativa;Indeterminado;;31/12;N;S;N;N;S;PLANNER CORRETORA DE VALORES S.A.;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538132;(11) 2172-2600;0800 179 444;(11) 2172-2667;www.planner.com.br;inforegulatorio@planner.com.br
Classe;32.400.250/0001-05;2026-01-01;1;2026-02-11;VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2019-10-09;INVESTIDORES EM GERAL;BRVCJRCTF005;14723970;N;N;;Outros;Ativa;Indeterminado;;30/06;S;N;N;S;N;INTRAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62418140000131;AV BRIGADEIRO FARIA LIMA;3400;10º Andar;ITAIM BIBI;SÃO PAULO;SP;04538132;55 (11) 30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
Classe;32.441.656/0001-36;2026-01-01;1;2026-02-13;RBR DESEN III FII RL;2019-04-26;INVESTIDOR QUALIFICADO;BRRBRICTF007;139665;N;N;;Multicategoria;Ativa;Indeterminado;;30/06;N;N;S;N;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;32.527.552/0001-49;2026-01-01;1;2026-02-13;VIC DESENVOLVIMENTO 20/21 FII;2022-07-29;INVESTIDOR QUALIFICADO;BRVIDSCTF003;94603;N;N;;Multicategoria;Ativa;Indeterminado;;30/06;S;S;N;S;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9º Andar;Botafogo;Rio de Janeiro;RJ;22250-906;(21 )3923-3000;(21 )3923-3046;;www.genialinvestimentos.com.br;structured-funds@genial.com.vc
Classe;32.527.626/0001-47;2026-01-01;1;2026-02-11;NEWPORT LOGISTICA FII;2019-09-27;INVESTIDOR QUALIFICADO;BRNEWLCTF004;2810193;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9º Andar;Botafogo;Rio de Janeiro;RJ;22250-906;(21) 3923-3000;(21) 3923-3046;;www.genialinvestimentos.com.br;structured-funds@genial.com.vc
Classe;32.667.306/0001-92;2026-01-01;1;2026-02-13;FII M8 MULT RL;2019-05-17;INVESTIDOR PROFISSIONAL;BR017CCTF007;35564;N;N;;Multicategoria;Ativa;Indeterminado;;30/06;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;32.754.734/0001-52;2026-01-01;1;2026-02-13;PATRIA AGRO FII RL;2019-11-07;INVESTIDORES EM GERAL;BRQAGRCTF005;5452634;N;N;;Outros;Ativa;Indeterminado;;30/06;S;N;N;S;N;BTG PACTUAL SERVICOS FINANCEIROS S/A DTVM;59281253000123;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22.250-040;55 11 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
Classe;32.892.018/0001-31;2026-01-01;2;2026-03-03;HSI - MALLS FII RESP. LIMITADA;2019-07-30;INVESTIDORES EM GERAL;BRHSMLCTF007;21329976;N;N;;Shoppings;Ativa;Indeterminado;;30/06;S;N;N;S;N;SANTANDER CACEIS BRASIL DTVM S.A.;62318407000119;Rua Amador Bueno;474;;Santo Amaro;São Paulo;SP;04752-005;(11) 5538-5489;;;www.s3dtvm.com.br;SC_fundosimobiliarios@s3caceis.com.br
Classe;32.903.621/0001-71;2026-01-01;1;2026-02-13;HSI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-12-09;INVESTIDORES EM GERAL;BRHSLGCTF009;12660067;N;N;;Logística;Ativa;Indeterminado;;30/06;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
Classe;32.903.661/0001-13;2026-01-01;1;2026-02-13;HSI LOG II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-12-09;INVESTIDOR QUALIFICADO;;3372642.7205;S;N;;Logística;Ativa;Indeterminado;;30/06;N;N;S;N;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com
